,Champions with first RoleJng,Sett,Lulu,Pyke,Pantheon,Karma,Swain,Tahm Kench,Maokai,Janna,Seraphine,Brand,Rakan,Sona,Zilean,Soraka,Lux,Bard,Taric,Leona,Thresh,Nautilus,Morgana,Yuumi,Blitzcrank,Braum,Alistar,Zyra,Nami,Rell
80,Lillia,-0.06382978723404253,-0.030303030303030276,-0.15887850467289721,-0.004830917874396157,-0.19999999999999996,0.0,0.19999999999999996,0.1515151515151516,-0.09909909909909909,-0.06896551724137934,-0.6190476190476191,0.14473684210526305,-0.19999999999999996,-0.1428571428571429,-0.040000000000000036,-0.5555555555555556,0.0117647058823529,-0.0714285714285714,-0.04854368932038833,-0.006802721088435382,0.07200000000000006,0.0847457627118644,-0.180327868852459,-0.08108108108108103,-0.17647058823529416,0.04651162790697683,-0.5,-0.0714285714285714,-0.03448275862068961
83,Vi,-0.5555555555555556,0.33333333333333326,-0.6,0.0,1.0,1.0,0.0,-0.5,-0.2727272727272727,0.16666666666666674,-0.33333333333333337,0.33333333333333326,0.5,1.0,-1.0,-0.19999999999999996,0.1428571428571428,1.0,-0.19999999999999996,0.09090909090909083,0.25,0.33333333333333326,-0.19999999999999996,-0.5,-1.0,-0.1428571428571429,-1.0,-0.33333333333333337,-1.0
86,Dr. Mundo,-0.5,0.0,1.0,-0.5,-1.0,0.0,1.0,0.0,0.3999999999999999,-0.33333333333333337,0.0,0.09090909090909083,1.0,-1.0,-1.0,0.6000000000000001,-0.5,-1.0,-0.1428571428571429,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0
96,Kha'Zix,-0.2421052631578947,0.11111111111111116,-0.29824561403508776,0.04587155963302747,0.0,0.30434782608695654,0.09090909090909083,-0.07692307692307687,0.015625,0.024390243902439046,0.1428571428571428,0.05882352941176472,0.13043478260869557,0.032258064516129004,-0.09090909090909094,0.0,0.24271844660194164,0.3999999999999999,0.03883495145631066,0.027272727272727337,0.16049382716049387,-0.040000000000000036,0.0,-0.29166666666666663,0.08571428571428563,-0.04895104895104896,0.22222222222222232,0.15384615384615374,0.17647058823529416
98,Ivern,0.1428571428571428,0.05263157894736836,0.5,0.29032258064516125,-0.33333333333333337,0.0,-1.0,0.0,0.22222222222222232,-0.09090909090909094,0.19999999999999996,-0.05882352941176472,0.25,0.1428571428571428,1.0,-0.19999999999999996,-0.030303030303030276,0.0,-0.024390243902439046,0.2727272727272727,0.0,0.6363636363636365,-0.16666666666666663,0.0,-0.25,0.034482758620689724,0.4285714285714286,0.09090909090909083,0.5
100,Taliyah,-0.10280373831775702,0.1515151515151516,0.016949152542372836,0.008695652173912993,-0.33333333333333337,0.11111111111111116,0.19999999999999996,0.1223021582733812,0.08333333333333326,-0.13636363636363635,-0.25,0.11392405063291133,0.5,0.19999999999999996,-0.5,0.125,0.15909090909090917,0.33333333333333326,0.0717703349282297,0.16999999999999993,-0.04109589041095896,-0.08571428571428574,0.0,-0.05882352941176472,0.2571428571428571,0.1644444444444444,0.0,0.19999999999999996,0.1333333333333333
101,Amumu,-0.19999999999999996,-0.4285714285714286,0.06666666666666665,0.25,-1.0,-0.33333333333333337,0.0,0.06666666666666665,-0.06666666666666665,0.7142857142857142,0.19999999999999996,0.368421052631579,-0.1428571428571429,0.0,0.1428571428571428,-0.33333333333333337,-0.16666666666666663,0.0,-0.1428571428571429,0.07317073170731714,0.0,0.19999999999999996,-0.4545454545454546,0.6000000000000001,0.19999999999999996,0.26315789473684204,-0.5,0.11111111111111116,0.0
102,Rek'Sai,-0.07999999999999996,0.05882352941176472,0.11764705882352944,0.02083333333333326,-0.06666666666666665,0.1428571428571428,-0.4285714285714286,0.10000000000000009,0.05555555555555558,0.023255813953488413,0.6666666666666667,-0.05660377358490565,-0.19999999999999996,-0.19999999999999996,0.2727272727272727,0.33333333333333326,0.13725490196078427,0.05263157894736836,0.08571428571428563,-0.03508771929824561,0.39534883720930236,-0.10344827586206895,-0.04347826086956519,-0.2941176470588235,0.21739130434782616,0.030303030303030276,0.0,-0.4285714285714286,-0.25
103,Karthus,0.1428571428571428,-0.18181818181818177,0.24,0.0,0.4545454545454546,-0.33333333333333337,0.3999999999999999,-0.10526315789473684,-0.0625,0.25,0.0,0.023255813953488413,-1.0,0.0,-0.5,-0.4285714285714286,-0.19999999999999996,-0.4545454545454546,-0.04950495049504955,0.06976744186046502,0.09677419354838701,-0.33333333333333337,-0.125,0.2727272727272727,0.0,0.13207547169811318,-0.5,0.0,0.0
107,Nunu & Willump,-0.09523809523809523,-0.30434782608695654,0.0,0.24528301886792447,0.05263157894736836,0.19999999999999996,0.0,0.13043478260869557,-0.07042253521126762,0.17391304347826098,0.0,-0.052631578947368474,0.5,-0.05882352941176472,-0.07692307692307687,0.0,0.24590163934426235,-0.09090909090909094,0.26436781609195403,0.22916666666666674,-0.21052631578947367,0.10000000000000009,-0.021276595744680882,-0.10344827586206895,0.2941176470588236,-0.15254237288135597,1.0,0.1333333333333333,-0.33333333333333337
110,Kayn,0.0,-0.1333333333333333,0.17647058823529416,0.06474820143884896,-0.28,-0.125,-0.375,0.04854368932038833,0.0625,-0.01754385964912286,-0.0625,-0.030927835051546393,0.25,-0.23809523809523814,-0.2941176470588235,0.17241379310344818,0.061224489795918435,-0.19999999999999996,0.0046511627906977715,-0.04888888888888887,0.10144927536231885,-0.05555555555555558,0.04225352112676051,0.0,-0.19999999999999996,-0.05063291139240511,0.33333333333333326,0.20833333333333326,-0.1428571428571429
112,Jarvan IV,0.0,0.04761904761904767,-0.23076923076923073,-0.03703703703703709,0.0,1.0,1.0,-0.1428571428571429,-0.1578947368421053,0.0,-0.6,0.05263157894736836,0.0,-1.0,0.0,-1.0,0.36363636363636354,1.0,0.08571428571428563,-0.06666666666666665,0.1428571428571428,-0.4285714285714286,0.6000000000000001,-0.6,0.0,0.0,0.6000000000000001,0.6666666666666667,-1.0
113,Xin Zhao,0.1428571428571428,-0.1428571428571429,0.33333333333333326,0.0,0.33333333333333326,-1.0,1.0,0.09090909090909083,0.11111111111111116,-0.11111111111111116,0.0,0.0,0.0,1.0,-1.0,0.19999999999999996,0.4545454545454546,0.33333333333333326,-0.03703703703703709,-0.052631578947368474,-0.19999999999999996,0.19999999999999996,0.0,-0.5,-0.33333333333333337,0.0,1.0,0.5,1.0
119,Nocturne,0.0,-0.19999999999999996,-0.19999999999999996,-0.33333333333333337,-1.0,1.0,0.0,-0.33333333333333337,0.4285714285714286,-0.5,0.5,-0.6666666666666667,0.0,1.0,0.0,1.0,0.0,0.0,-0.4,0.19999999999999996,-1.0,-0.5,-0.33333333333333337,1.0,1.0,0.0,-1.0,0.19999999999999996,0.0
121,Trundle,-1.0,-0.5,-1.0,1.0,-0.33333333333333337,1.0,1.0,0.33333333333333326,-1.0,0.0,-0.33333333333333337,0.33333333333333326,0.0,0.0,1.0,-1.0,-0.33333333333333337,-1.0,0.0,0.33333333333333326,0.33333333333333326,-0.5,-1.0,0.0,1.0,0.33333333333333326,0.0,0.0,0.0
122,Lee Sin,-0.00952380952380949,-0.13043478260869568,0.04615384615384621,-0.015151515151515138,-0.23529411764705888,-0.33333333333333337,0.125,0.054263565891472965,-0.02941176470588236,0.0,-0.4117647058823529,-0.0444444444444444,-0.17647058823529416,-0.19999999999999996,-0.09999999999999998,0.1578947368421053,0.15315315315315314,0.3846153846153846,-0.02304147465437789,-0.005347593582887722,-0.24675324675324672,-0.18181818181818177,-0.3157894736842105,0.11764705882352944,0.4285714285714286,0.06474820143884896,0.0,-0.1428571428571429,-0.16666666666666663
128,Nidalee,0.02127659574468077,0.05454545454545445,0.1898734177215189,-0.010101010101010055,0.0714285714285714,-0.1428571428571429,-0.23809523809523814,-0.038461538461538436,-0.15000000000000002,-0.16981132075471694,-0.09090909090909094,0.05882352941176472,-0.09090909090909094,0.6363636363636365,0.23809523809523814,0.23809523809523814,0.09615384615384626,0.17647058823529416,-0.010830324909747335,0.023809523809523725,0.05882352941176472,-0.17391304347826086,0.0,-0.04347826086956519,0.2857142857142858,0.033816425120772875,0.19999999999999996,0.06666666666666665,-0.368421052631579
129,Rammus,0.33333333333333326,0.0,0.0,-0.6666666666666667,1.0,-1.0,0.0,0.6000000000000001,-0.25,0.19999999999999996,-0.33333333333333337,-0.33333333333333337,0.0,0.0,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,1.0,0.1428571428571428,-0.2727272727272727,0.0,-1.0,0.11111111111111116,0.0,-1.0,0.33333333333333326,-1.0,0.0,0.0
133,Udyr,-0.1428571428571429,0.11111111111111116,-0.19999999999999996,-0.33333333333333337,0.0,0.0,0.0,0.19999999999999996,0.4444444444444444,-0.23076923076923073,-0.7142857142857143,0.16666666666666674,-1.0,0.6000000000000001,1.0,0.0,0.26315789473684204,-1.0,-0.18181818181818177,0.1578947368421053,0.0,-0.33333333333333337,0.11111111111111116,-0.33333333333333337,0.19999999999999996,0.0,1.0,-0.4285714285714286,1.0
136,Sejuani,0.11111111111111116,0.33333333333333326,-0.23076923076923073,0.368421052631579,-0.5,-1.0,0.0,0.0,0.0,-1.0,-0.5,0.19999999999999996,-0.33333333333333337,0.6000000000000001,0.0,0.0,-0.8333333333333334,0.5,-0.027027027027026973,0.11111111111111116,0.4285714285714286,0.0,-0.11111111111111116,-0.33333333333333337,-0.6,-0.2222222222222222,0.5,-0.1428571428571429,-0.33333333333333337
137,Fiddlesticks,-0.1578947368421053,0.05882352941176472,0.23076923076923084,-0.1875,0.5,-0.33333333333333337,1.0,0.1578947368421053,0.05263157894736836,0.2857142857142858,0.5,-0.2222222222222222,0.0,0.33333333333333326,1.0,0.0,-0.19999999999999996,-0.1428571428571429,0.04761904761904767,0.23529411764705888,-0.33333333333333337,0.1428571428571428,0.17647058823529416,0.16666666666666674,-0.5,0.17948717948717952,0.0,0.19999999999999996,-1.0
141,Evelynn,-0.36363636363636365,-0.17647058823529416,-0.2857142857142857,-0.45833333333333337,0.2857142857142858,-1.0,0.0,0.0,-0.019607843137254943,0.17241379310344818,0.1428571428571428,0.032258064516129004,0.06666666666666665,0.1428571428571428,0.0,-0.4545454545454546,-0.1063829787234043,0.5,-0.17460317460317465,0.11111111111111116,0.08333333333333326,-0.04761904761904767,0.08108108108108114,-0.17647058823529416,0.5,0.08333333333333326,0.0,-0.04761904761904767,0.0
142,Kindred,-0.27419354838709675,0.0,-0.05882352941176472,-0.06293706293706292,-0.050000000000000044,0.1428571428571428,0.7142857142857142,0.06870229007633588,-0.04225352112676062,-0.06451612903225812,-0.09090909090909094,-0.08108108108108103,-0.375,-0.6470588235294117,-0.13043478260869568,0.2941176470588236,0.10891089108910901,-0.0625,0.030042918454935563,0.053097345132743445,-0.049180327868852514,0.09523809523809534,-0.2195121951219512,0.032258064516129004,0.18181818181818188,0.005464480874316946,0.1428571428571428,0.0,0.26315789473684204
144,Elise,-0.18367346938775508,0.13043478260869557,-0.04347826086956519,0.10526315789473695,0.1428571428571428,-1.0,-0.33333333333333337,-0.052631578947368474,0.2727272727272727,-0.12195121951219512,0.33333333333333326,-0.022222222222222254,0.0,0.0,0.1428571428571428,0.33333333333333326,0.040000000000000036,0.3999999999999999,0.10000000000000009,0.042553191489361764,-0.24137931034482762,-0.15384615384615385,0.1428571428571428,0.11111111111111116,0.0,-0.013698630136986356,-1.0,0.0,-0.33333333333333337
