Champions,BlueWon,BluePlayed,RedWon,RedPlayed,TotalPlayed,Bluewinrate,Redwinrate,Totalwinrate,Role1,Role2,#Role1,#Role2
Yone,638,1296,589,1327,2623,0.492284,0.443858,0.467785,Mid,Top,1966,537
Mordekaiser,133,285,135,291,576,0.466667,0.463918,0.465278,Top,Mid,507,61
Ryze,139,292,136,285,577,0.476027,0.477193,0.476603,Mid,Top,423,147
Gangplank,171,399,183,396,795,0.428571,0.462121,0.445283,Top,Mid,737,50
Kayle,189,390,192,395,785,0.484615,0.486076,0.48535,Top,Mid,520,245
Ekko,827,1622,778,1611,3233,0.509864,0.48293,0.496443,Mid,Jng,1685,1479
Gragas,473,933,452,920,1853,0.506967,0.491304,0.499191,Top,Sup,767,554
Rumble,223,417,222,452,869,0.534772,0.49115,0.512083,Mid,Top,427,323
Gnar,41,91,61,121,212,0.450549,0.504132,0.481132,Top,Mid,197,12
Ahri,119,247,119,246,493,0.481781,0.48374,0.482759,Mid,Sup,459,19
Pantheon,922,1803,874,1777,3580,0.51137,0.49184,0.501676,Sup,Top,2470,528
Rengar,256,515,262,515,1030,0.497087,0.508738,0.502913,Jng,Top,694,300
Darius,203,409,232,437,846,0.496333,0.530892,0.514184,Top,Mid,782,52
Ashe,539,1104,517,1055,2159,0.488225,0.490047,0.489115,Adc,Sup,1944,195
Poppy,189,373,173,375,748,0.506702,0.461333,0.483957,Top,Jng,450,145
Kled,94,187,88,192,379,0.502674,0.458333,0.480211,Top,Mid,328,43
Karma,163,350,159,323,673,0.465714,0.49226,0.478455,Sup,Mid,604,43
Quinn,88,183,87,180,363,0.480874,0.483333,0.482094,Top,Mid,289,42
Jax,398,817,429,830,1647,0.487148,0.516867,0.502125,Top,Mid,1513,86
Cassiopeia,223,464,214,418,882,0.480603,0.511962,0.495465,Mid,Top,615,182
Ezreal,1087,2299,1097,2400,4699,0.472814,0.457083,0.46478,Adc,Top,4535,79
Swain,177,333,173,335,668,0.531532,0.516418,0.523952,Sup,Adc,259,256
Olaf,442,806,441,793,1599,0.548387,0.556116,0.55222,Jng,Top,1508,82
Teemo,69,126,42,92,218,0.547619,0.456522,0.509174,Top,Mid,163,24
Tahm Kench,63,134,77,129,263,0.470149,0.596899,0.532319,Sup,Top,238,18
Maokai,618,1177,656,1238,2415,0.525064,0.529887,0.527536,Sup,Top,1983,387
Diana,116,246,91,203,449,0.471545,0.448276,0.461024,Mid,Top,368,53
Galio,625,1126,639,1152,2278,0.555062,0.554688,0.554873,Mid,Sup,1646,513
Garen,52,132,79,155,287,0.393939,0.509677,0.456446,Top,Mid,218,48
Warwick,41,93,55,105,198,0.44086,0.52381,0.484848,Jng,Top,127,60
Cho'Gath,67,146,86,169,315,0.458904,0.508876,0.485714,Top,Mid,180,85
Yasuo,288,601,328,653,1254,0.479201,0.502297,0.491228,Mid,Adc,750,302
Talon,180,349,184,325,674,0.515759,0.566154,0.540059,Mid,Top,575,63
Zed,253,535,255,505,1040,0.472897,0.50495,0.488462,Mid,Top,909,82
Yorick,26,54,24,40,94,0.481481,0.6,0.531915,Top,Mid,85,9
Vayne,401,766,361,714,1480,0.523499,0.505602,0.514865,Adc,Top,1248,188
Neeko,112,199,97,198,397,0.562814,0.489899,0.526448,Mid,Top,249,75
Xerath,125,279,152,280,559,0.448029,0.542857,0.495528,Mid,Sup,281,240
Viktor,511,987,491,969,1956,0.51773,0.506708,0.51227,Mid,Top,1680,176
Miss Fortune,781,1544,840,1665,3209,0.505829,0.504505,0.505142,Adc,Sup,3144,34
Janna,400,819,383,772,1591,0.4884,0.496114,0.492143,Sup,Top,1574,9
Shaco,183,398,167,359,757,0.459799,0.465181,0.462351,Jng,Sup,372,350
Katarina,300,603,277,578,1181,0.497512,0.479239,0.488569,Mid,Top,1060,91
Kalista,102,212,120,235,447,0.481132,0.510638,0.496644,Adc,Top,364,60
Zac,132,286,128,279,565,0.461538,0.458781,0.460177,Jng,Top,377,86
Seraphine,419,801,386,777,1578,0.523096,0.496782,0.510139,Sup,Mid,1168,240
Master Yi,63,134,68,140,274,0.470149,0.485714,0.478102,Jng,Top,235,23
Senna,246,547,303,592,1139,0.449726,0.511824,0.482002,Adc,Sup,759,373
Orianna,456,947,436,937,1884,0.481521,0.465315,0.473461,Mid,Top,1785,69
Jhin,1944,3710,1818,3637,7347,0.523989,0.499863,0.512046,Adc,Mid,7307,27
Shyvana,64,146,70,140,286,0.438356,0.5,0.468531,Jng,Top,278,7
Aphelios,396,795,386,821,1616,0.498113,0.470158,0.483911,Adc,Top,1583,22
Skarner,66,129,63,118,247,0.511628,0.533898,0.522267,Jng,Top,198,41
Azir,87,182,73,141,323,0.478022,0.51773,0.495356,Mid,Top,279,33
Lillia,749,1484,711,1521,3005,0.504717,0.467456,0.485857,Jng,Top,2926,43
Singed,80,158,63,140,298,0.506329,0.45,0.479866,Top,Mid,227,63
Tristana,179,363,212,423,786,0.493113,0.501182,0.497455,Adc,Mid,637,93
Vi,41,82,42,92,174,0.5,0.456522,0.477011,Jng,Mid,169,3
Heimerdinger,78,151,106,175,326,0.516556,0.605714,0.564417,Adc,Mid,121,101
Varus,50,127,51,114,241,0.393701,0.447368,0.419087,Adc,Mid,217,19
Dr. Mundo,38,91,40,77,168,0.417582,0.519481,0.464286,Jng,Top,124,37
Kai'Sa,1758,3347,1687,3348,6695,0.525246,0.503883,0.514563,Adc,Mid,6607,39
Malzahar,53,106,51,106,212,0.5,0.481132,0.490566,Mid,Top,183,15
Lissandra,73,131,69,140,271,0.557252,0.492857,0.523985,Mid,Top,230,28
Kassadin,215,433,216,422,855,0.496536,0.511848,0.504094,Mid,Top,809,37
Qiyana,283,504,254,486,990,0.561508,0.522634,0.542424,Mid,Jng,835,78
Nasus,67,151,85,166,317,0.443709,0.512048,0.479495,Top,Mid,247,64
Twisted Fate,251,534,241,501,1035,0.470037,0.481038,0.475362,Mid,Top,982,28
Syndra,356,734,399,789,1523,0.485014,0.505703,0.495732,Mid,Adc,1382,91
Caitlyn,268,507,245,523,1030,0.5286,0.468451,0.498058,Adc,Top,1025,3
Kha'Zix,567,1125,589,1141,2266,0.504,0.516214,0.51015,Jng,Mid,2247,8
Illaoi,47,97,47,100,197,0.484536,0.47,0.477157,Top,Mid,169,25
Ivern,144,273,149,262,535,0.527473,0.568702,0.547664,Jng,Sup,484,28
Anivia,258,525,246,491,1016,0.491429,0.501018,0.496063,Mid,Sup,849,73
Taliyah,627,1153,607,1159,2312,0.543799,0.523727,0.533737,Jng,Mid,1973,156
Amumu,92,190,93,181,371,0.484211,0.513812,0.498652,Jng,Sup,356,7
Rek'Sai,314,597,288,569,1166,0.525963,0.506151,0.516295,Jng,Top,1159,4
Karthus,266,534,294,574,1108,0.498127,0.512195,0.505415,Jng,Adc,795,177
Vel'Koz,64,157,65,141,298,0.407643,0.460993,0.432886,Mid,Sup,144,109
Fizz,273,518,249,495,1013,0.527027,0.50303,0.515301,Mid,Top,981,21
Draven,267,528,291,546,1074,0.505682,0.532967,0.519553,Adc,Top,1034,20
Nunu & Willump,322,621,309,596,1217,0.518519,0.518456,0.518488,Jng,Mid,1085,100
Zoe,424,788,386,773,1561,0.538071,0.499353,0.518898,Mid,Adc,1505,27
Brand,131,300,156,310,610,0.436667,0.503226,0.470492,Sup,Adc,402,95
Kayn,549,1081,554,1136,2217,0.507863,0.487676,0.497519,Jng,Top,2140,44
Aurelion Sol,32,63,36,65,128,0.507937,0.553846,0.53125,Mid,Adc,111,10
Jarvan IV,81,192,116,215,407,0.421875,0.539535,0.484029,Jng,Sup,368,22
Xin Zhao,53,114,75,134,248,0.464912,0.559701,0.516129,Jng,Top,233,7
Rakan,486,930,447,922,1852,0.522581,0.484816,0.50378,Sup,Mid,1831,13
Sona,93,161,89,179,340,0.57764,0.497207,0.535294,Sup,Adc,321,14
Zilean,109,229,91,204,433,0.475983,0.446078,0.461894,Sup,Mid,363,53
Kog'Maw,42,83,39,83,166,0.506024,0.46988,0.487952,Adc,Mid,160,4
Twitch,142,307,160,319,626,0.462541,0.501567,0.482428,Adc,Sup,447,131
Nocturne,68,119,67,132,251,0.571429,0.507576,0.537849,Jng,Mid,116,106
LeBlanc,174,361,206,378,739,0.481994,0.544974,0.514208,Mid,Top,721,8
Trundle,21,49,22,63,112,0.428571,0.349206,0.383929,Jng,Sup,80,18
Lee Sin,496,973,477,1036,2009,0.509764,0.460425,0.484321,Jng,Mid,1993,6
Samira,720,1444,533,1119,2563,0.498615,0.476318,0.48888,Adc,Mid,2465,63
Soraka,96,197,107,230,427,0.48731,0.465217,0.47541,Sup,Top,395,15
Lux,140,275,143,282,557,0.509091,0.507092,0.508079,Sup,Mid,365,169
Bard,547,1023,517,997,2020,0.534702,0.518556,0.526733,Sup,Mid,2005,10
Veigar,33,74,56,110,184,0.445946,0.509091,0.483696,Mid,Adc,94,62
Nidalee,584,1158,596,1187,2345,0.504318,0.502106,0.503198,Jng,Mid,2331,5
Rammus,39,79,24,68,147,0.493671,0.352941,0.428571,Jng,Top,129,10
Corki,25,57,22,45,102,0.438596,0.488889,0.460784,Mid,Top,92,5
Sivir,30,58,24,61,119,0.517241,0.393443,0.453782,Adc,Top,115,3
Taric,124,221,112,215,436,0.561086,0.52093,0.541284,Sup,Mid,389,18
Udyr,91,168,76,150,318,0.541667,0.506667,0.525157,Jng,Top,264,45
Leona,1004,1944,996,2044,3988,0.516461,0.48728,0.501505,Sup,Top,3974,5
Ziggs,51,100,54,100,200,0.51,0.54,0.525,Adc,Mid,95,91
Sejuani,79,157,61,128,285,0.503185,0.476562,0.491228,Jng,Top,277,4
Fiddlesticks,127,228,132,246,474,0.557018,0.536585,0.546414,Jng,Sup,435,32
Thresh,1015,1934,958,1854,3788,0.524819,0.516721,0.520855,Sup,Mid,3777,7
Nautilus,348,750,337,668,1418,0.464,0.504491,0.483075,Sup,Mid,1397,16
Morgana,218,459,237,469,928,0.474946,0.50533,0.490302,Sup,Mid,844,57
Evelynn,182,405,202,411,816,0.449383,0.491484,0.470588,Jng,Mid,808,4
Kindred,545,1079,567,1166,2245,0.505097,0.486278,0.495323,Jng,Adc,2172,53
Jinx,62,136,71,133,269,0.455882,0.533835,0.494424,Adc,Top,266,1
Elise,233,468,251,484,952,0.497863,0.518595,0.508403,Jng,Sup,938,8
Yuumi,256,525,263,524,1049,0.487619,0.501908,0.494757,Sup,Top,1042,3
Blitzcrank,167,337,158,361,698,0.495549,0.437673,0.465616,Sup,Jng,693,3
Braum,149,292,128,267,559,0.510274,0.479401,0.495528,Sup,Mid,558,1
Alistar,782,1467,775,1522,2989,0.533061,0.509198,0.52091,Sup,Mid,2966,14
Zyra,62,112,63,111,223,0.553571,0.567568,0.560538,Sup,Mid,217,4
Xayah,81,199,81,177,376,0.407035,0.457627,0.430851,Adc,Mid,373,3
Nami,209,389,189,370,759,0.537275,0.510811,0.524374,Sup,Mid,757,2
Rell,69,154,90,175,329,0.448052,0.514286,0.483283,Sup,Top,326,2
