,Champions with first RoleTop,Graves,Hecarim,Rengar,Olaf,Warwick,Shaco,Zac,Master Yi,Shyvana,Skarner,Lillia,Vi,Dr. Mundo,Kha'Zix,Ivern,Taliyah,Amumu,Rek'Sai,Karthus,Nunu & Willump,Kayn,Jarvan IV,Xin Zhao,Nocturne,Trundle,Lee Sin,Nidalee,Rammus,Udyr,Sejuani,Fiddlesticks,Evelynn,Kindred,Elise
32,Gragas,-4.0,9.0,-1.0,9.0,1.0,-3.0,1.0,0.0,0.0,1.0,-16.0,1.0,2.0,-7.0,5.0,-3.0,1.0,-3.0,-3.0,2.0,-12.0,-2.0,-1.0,3.0,-1.0,4.0,6.0,2.0,0.0,3.0,5.0,-1.0,2.0,-3.0
34,Gnar,-2.0,-8.0,0.0,1.0,2.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,4.0,-1.0,-1.0,0.0,-1.0,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,1.0,-1.0,-4.0,1.0,-2.0,0.0
38,Darius,19.0,3.0,1.0,9.0,-4.0,1.0,1.0,0.0,0.0,-2.0,2.0,-1.0,0.0,-7.0,-3.0,-4.0,1.0,6.0,1.0,3.0,14.0,4.0,0.0,0.0,-1.0,-5.0,-1.0,0.0,1.0,-5.0,3.0,-5.0,-1.0,-2.0
40,Poppy,0.0,5.0,0.0,2.0,2.0,-1.0,-2.0,1.0,-1.0,1.0,-3.0,1.0,0.0,-7.0,0.0,0.0,0.0,-7.0,-2.0,-2.0,11.0,1.0,-1.0,-1.0,-2.0,1.0,3.0,0.0,1.0,2.0,-5.0,3.0,4.0,-2.0
41,Kled,-14.0,3.0,6.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,5.0,0.0,0.0,2.0,1.0,6.0,-2.0,5.0,-4.0,-1.0,-4.0,-1.0,0.0,1.0,1.0,-13.0,0.0,-1.0,-2.0,0.0,-2.0,-1.0,4.0,1.0
43,Quinn,-8.0,0.0,-4.0,2.0,1.0,-2.0,-5.0,0.0,0.0,1.0,-2.0,1.0,0.0,4.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,4.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0
44,Jax,9.0,-12.0,14.0,5.0,1.0,-6.0,-4.0,1.0,-3.0,0.0,1.0,-2.0,-2.0,10.0,5.0,15.0,-4.0,-9.0,3.0,-2.0,-3.0,-3.0,-1.0,-1.0,-1.0,-4.0,-1.0,2.0,3.0,1.0,-3.0,-3.0,-3.0,-5.0
49,Teemo,5.0,6.0,0.0,0.0,0.0,-2.0,-1.0,1.0,1.0,0.0,-4.0,0.0,-1.0,-1.0,3.0,1.0,0.0,4.0,1.0,0.0,-4.0,-1.0,-1.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,-2.0,1.0,3.0,1.0,2.0
54,Garen,10.0,2.0,-4.0,-1.0,-1.0,-1.0,-3.0,-6.0,-1.0,1.0,-4.0,-3.0,0.0,-2.0,-1.0,5.0,-3.0,-1.0,3.0,-3.0,-4.0,1.0,1.0,1.0,-1.0,-2.0,0.0,0.0,-1.0,-3.0,3.0,2.0,3.0,0.0
56,Cho'Gath,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,-2.0,1.0,-1.0,0.0,0.0,2.0,1.0,0.0,3.0,-4.0,-2.0,-2.0,0.0,-1.0,0.0,3.0,-2.0
60,Yorick,1.0,3.0,-3.0,1.0,0.0,-2.0,-2.0,1.0,-1.0,0.0,2.0,0.0,-1.0,3.0,0.0,2.0,-2.0,1.0,1.0,3.0,1.0,1.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,1.0
81,Singed,1.0,-5.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0,-2.0,1.0,-5.0,-2.0,2.0,1.0,-1.0,-3.0,0.0,0.0,-2.0,2.0,0.0,2.0,0.0,0.0,0.0,-1.0,-4.0
92,Nasus,-6.0,0.0,-2.0,-1.0,0.0,1.0,2.0,-2.0,4.0,0.0,4.0,0.0,-1.0,-6.0,1.0,3.0,2.0,3.0,1.0,-3.0,-1.0,-3.0,-1.0,1.0,1.0,-10.0,-3.0,2.0,1.0,-2.0,-2.0,0.0,3.0,3.0
97,Illaoi,-8.0,-4.0,2.0,3.0,0.0,1.0,1.0,0.0,-1.0,0.0,2.0,2.0,-1.0,-1.0,1.0,-3.0,1.0,4.0,0.0,-2.0,-4.0,0.0,0.0,0.0,-1.0,-2.0,2.0,1.0,1.0,0.0,2.0,-4.0,0.0,0.0
