duration,server,summoner_name,team_1,team_2,timestamp,winner
31m 46s,na,Ralyk,"Hecarim,Kindred,Xerath,Jhin,Sett","Malphite,Evelynn,Zed,Miss Fortune,Seraphine",2020-12-25 08:09:42,Team 1
25m 11s,na,GhostlyCat,"Annie,Kayn,Sylas,Ashe,Thresh","Fiora,Hecarim,Orianna,Ezreal,Maokai",2020-11-04 13:53:57,Team 2
20m 44s,na,GhostlyCat,"Aatrox,Ivern,Yasuo,Ashe,Maokai","Ornn,Amumu,Sylas,Vayne,Lulu",2020-11-04 13:21:20,Team 1
19m 43s,na,stuntopolis,"Sion,Rengar,Ekko,Ezreal,Pantheon","Lulu,Master Yi,Rakan,Jhin,Taric",2020-11-04 11:35:53,Team 1
40m 40s,na,stuntopolis,"Jayce,Lillia,Orianna,Ezreal,Zilean","Fiora,Nidalee,Lucian,Senna,Pantheon",2020-11-04 10:24:58,Team 1
28m 44s,na,GhostlyCat,"Ornn,Kayn,Corki,Draven,Pyke","Camille,Rek'Sai,Neeko,Ashe,Pantheon",2020-11-04 12:50:37,Team 2
23m 49s,na,GhostlyCat,"Malphite,Elise,Akali,Ezreal,Bard","Ornn,Kayn,Wukong,Caitlyn,Pantheon",2020-11-04 12:09:00,Team 2
22m 53s,na,stuntopolis,"Malphite,Shaco,Akali,Jinx,Yuumi","Kennen,Kha'Zix,Zed,Veigar,Karma",2020-11-04 09:11:13,Team 1
18m 6s,na,stuntopolis,"Ornn,Graves,Taliyah,Yasuo,Rakan","Camille,Ekko,Talon,Jhin,Pantheon",2020-11-04 08:35:22,Team 2
20m 31s,na,GhostlyCat,"Shen,Hecarim,Sylas,Jhin,Taric","Riven,Karthus,Zed,Kai'Sa,Leona",2020-11-04 11:22:44,Team 2
28m 46s,na,GhostlyCat,"Tryndamere,Kayn,Akali,Morgana,Rakan","Camille,Gragas,Fizz,Ashe,Thresh",2020-11-04 06:38:11,Team 1
15m 47s,na,GhostlyCat,"Shen,Kayn,Kassadin,Wukong,Ivern","Malphite,Kindred,Swain,Ashe,Galio",2020-11-04 05:52:09,Team 1
17m 16s,na,GhostlyCat,"Pyke,Fiddlesticks,Camille,Zed,Sett","Ornn,Kayn,Rumble,Ezreal,Yuumi",2020-11-04 05:20:32,Team 1
27m 36s,na,GhostlyCat,"Fiora,Kayn,LeBlanc,Cassiopeia,Sett","Wukong,Lee Sin,Fizz,Senna,Morgana",2020-11-03 11:31:59,Team 2
26m 29s,na,Griffin1,"Camille,Ekko,Rumble,Miss Fortune,Pantheon","Fiora,Nidalee,Irelia,Jhin,Rell",2020-12-28 12:09:56,Team 1
25m 44s,na,Griffin1,"Lucian,Nidalee,Gragas,Jhin,Braum","Volibear,Taliyah,Malphite,Samira,Nautilus",2020-12-28 11:28:05,Team 1
26m 0s,na,Griffin1,"Camille,Pantheon,Ekko,Jhin,Karma","Gragas,Taliyah,Lucian,Miss Fortune,Lulu",2020-12-28 10:56:01,Team 1
32m 51s,euw,ATL Diablo,"Yone,Zac,Xerath,Jhin,Twitch","Renekton,Udyr,Anivia,Ashe,Leona",2020-12-28 03:13:04,Team 1
26m 33s,na,Griffin1,"Mordekaiser,Olaf,Zoe,Kai'Sa,Pyke","Wukong,Kindred,Anivia,Samira,Sett",2020-12-28 10:19:30,Team 1
18m 52s,na,Griffin1,"Aatrox,Taliyah,Yone,Jhin,Pantheon","Gragas,Lee Sin,Ekko,Miss Fortune,Braum",2020-12-28 09:34:36,Team 1
28m 22s,euw,ATL Diablo,"Ryze,Qiyana,LeBlanc,Kai'Sa,Nautilus","Gangplank,Ekko,Galio,Jhin,Twitch",2020-12-28 02:14:48,Team 1
23m 32s,euw,ATL Diablo,"Wukong,Hecarim,Twisted Fate,Tristana,Pyke","Camille,Lillia,Lissandra,Jhin,Rakan",2020-12-26 22:16:00,Team 2
22m 21s,na,Griffin1,"Vladimir,Taliyah,Qiyana,Jhin,Alistar","Sylas,Graves,Akali,Kai'Sa,Rakan",2020-12-26 11:40:34,Team 2
21m 53s,euw,SLEEPlNG,"Aatrox,Kha'Zix,Sylas,Heimerdinger,Senna","Akali,Hecarim,Yone,Kai'Sa,Soraka",2020-12-02 22:03:01,Team 1
31m 40s,euw,ATL Diablo,"Shen,Taliyah,Qiyana,Jhin,Thresh","Irelia,Kayn,Anivia,Ivern,Leona",2020-12-22 22:08:06,Team 1
28m 10s,euw,ATL Diablo,"Renekton,Taliyah,Ekko,Caitlyn,Nautilus","Aatrox,Kayn,Seraphine,Kai'Sa,Alistar",2020-12-22 20:51:40,Team 1
27m 36s,euw,SLEEPlNG,"Gangplank,Nunu & Willump,Vladimir,Yone,Alistar","Sion,Lillia,Lucian,Jhin,Pantheon",2020-11-20 22:22:53,Team 1
22m 26s,euw,ATL Diablo,"Yone,Gragas,Yasuo,Ezreal,Zilean","Riven,Taliyah,Orianna,Miss Fortune,Thresh",2020-12-16 04:21:57,Team 2
15m 16s,euw,ATL Diablo,"Camille,Kha'Zix,Samira,Anivia,Nautilus","Irelia,Taliyah,Sett,Miss Fortune,Bard",2020-12-15 07:00:07,Team 1
27m 16s,euw,SLEEPlNG,"Aatrox,Lillia,Ekko,Jhin,Bard","Maokai,Hecarim,Akali,Miss Fortune,Twitch",2020-11-20 07:55:49,Team 1
37m 21s,euw,SLEEPlNG,"Kayle,Hecarim,Yone,Swain,Seraphine","Jax,Sett,Twisted Fate,Jhin,Rakan",2020-11-20 07:21:17,Team 2
25m 13s,euw,ATL Diablo,"Jayce,Ekko,Qiyana,Ezreal,Seraphine","Jax,Kindred,Syndra,Jhin,Rakan",2020-12-15 01:56:38,Team 2
15m 26s,euw,ATL Diablo,"Ekko,Nidalee,Anivia,Draven,Thresh","Yone,Taliyah,Viktor,Lucian,Nautilus",2020-12-15 00:42:17,Team 1
22m 3s,na,100 PERCENT SLOW,"Malphite,Kindred,Sylas,Lucian,Yuumi","Volibear,Lillia,Katarina,Jhin,Zilean",2020-12-28 04:57:29,Team 2
41m 35s,na,DIG Akaadian,"Gragas,Olaf,Nasus,Kai'Sa,Thresh","Rumble,Graves,Viktor,Jhin,Janna",2020-12-28 13:19:15,Team 2
41m 54s,euw,SLEEPlNG,"Gragas,Hecarim,Viktor,Kai'Sa,Rakan","Gangplank,Skarner,Sylas,Ezreal,Bard",2020-11-20 06:33:12,Team 1
32m 10s,euw,SLEEPlNG,"Rumble,Rek'Sai,Galio,Lucian,Brand","Camille,Kayn,LeBlanc,Kai'Sa,Lulu",2020-11-19 23:30:06,Team 1
44m 37s,euw,Gabbo,"Gnar,Kayn,Fizz,Jhin,Bard","Darius,Zac,Zoe,Kai'Sa,Rell",2020-12-29 04:03:03,Team 1
26m 3s,na,100 PERCENT SLOW,"Wukong,Graves,Galio,Miss Fortune,Yuumi","Lulu,Lillia,Lucian,Tristana,Zilean",2020-12-28 04:17:51,Team 1
29m 33s,na,100 PERCENT SLOW,"Shen,Lillia,Yone,Kai'Sa,Seraphine","Renekton,Nidalee,Lissandra,Lucian,Zilean",2020-12-27 13:46:11,Team 2
18m 36s,na,DIG Akaadian,"Aatrox,Shen,Yasuo,Katarina,Alistar","Renekton,Taliyah,LeBlanc,Kai'Sa,Sett",2020-12-28 12:30:54,Team 1
21m 26s,na,DIG Akaadian,"Shen,Olaf,Diana,Samira,Morgana","Renekton,Ekko,Cassiopeia,Kai'Sa,Lulu",2020-12-28 12:03:52,Team 1
26m 13s,euw,SLEEPlNG,"Akali,Nunu & Willump,Irelia,Senna,Brand","Wukong,Udyr,Sylas,Ziggs,Bard",2020-11-19 22:27:58,Team 2
25m 19s,euw,SLEEPlNG,"Akali,Kha'Zix,Qiyana,Jhin,Xerath","Aatrox,Elise,Zoe,Ezreal,Nami",2020-11-17 22:36:27,Team 2
26m 49s,euw,Gabbo,"Gragas,Udyr,Yone,Jhin,Bard","Sion,Lillia,Lucian,Kai'Sa,Sett",2020-12-29 03:12:58,Team 1
36m 57s,euw,Gabbo,"Lucian,Taliyah,Twisted Fate,Ezreal,Bard","Wukong,Lee Sin,Viktor,Jhin,Pantheon",2020-12-27 04:40:15,Team 2
34m 40s,na,100 PERCENT SLOW,"Riven,Taliyah,Lucian,Jhin,Nautilus","Gragas,Olaf,Yone,Aphelios,Zilean",2020-12-27 12:13:10,Team 2
28m 2s,na,100 PERCENT SLOW,"Fiora,Nidalee,Anivia,Miss Fortune,Lulu","Jax,Taliyah,Yone,Samira,Rell",2020-12-27 10:33:40,Team 1
44m 11s,euw,qldmkgod,"Camille,Lee Sin,Orianna,Ezreal,Janna","Pantheon,Graves,Fizz,Jhin,Thresh",2020-12-28 22:02:34,Team 2
31m 41s,na,DIG Akaadian,"Ahri,Graves,Renekton,Xayah,Maokai","Urgot,Hecarim,Galio,Jhin,Nami",2020-12-28 11:32:11,Team 1
18m 57s,na,DIG Akaadian,"Shen,Hecarim,Ekko,Kai'Sa,Bard","Lucian,Kindred,Cassiopeia,Ezreal,Sona",2020-12-24 04:38:47,Team 1
32m 36s,euw,Gabbo,"Sett,Olaf,Miss Fortune,Ezreal,Pantheon","Malphite,Karthus,Yone,Kai'Sa,Rakan",2020-12-27 03:52:48,Team 2
22m 10s,euw,Gabbo,"Pantheon,Evelynn,Lucian,Miss Fortune,Alistar","Irelia,Nidalee,Yone,Kai'Sa,Leona",2020-12-27 03:10:02,Team 2
25m 13s,na,100 PERCENT SLOW,"Gragas,Graves,Irelia,Kai'Sa,Rell","Fiora,Olaf,Zoe,Samira,Nautilus",2020-12-27 09:27:06,Team 1
22m 14s,na,100 PERCENT SLOW,"Camille,Rammus,Orianna,Miss Fortune,Zilean","Gragas,Graves,Ekko,Lucian,Blitzcrank",2020-12-27 08:55:40,Team 1
31m 21s,euw,qldmkgod,"Gragas,Lillia,Ezreal,Xayah,Leona","Irelia,Taliyah,Yone,Kai'Sa,Thresh",2020-12-28 19:04:55,Team 1
37m 26s,euw,qldmkgod,"Camille,Udyr,Kassadin,Lucian,Lulu","Renekton,Hecarim,Zoe,Senna,Thresh",2020-12-28 18:19:23,Team 2
21m 5s,na,DIG Akaadian,"Renekton,Nidalee,Syndra,Jhin,Thresh","Camille,Graves,Sylas,Kai'Sa,Yuumi",2020-12-24 04:04:38,Team 2
40m 5s,na,DIG Akaadian,"Jayce,Nidalee,Twisted Fate,Lucian,Pyke","Vayne,Karthus,Syndra,Jhin,Rakan",2020-12-23 17:05:38,Team 2
32m 26s,euw,Gabbo,"Pantheon,Lee Sin,Fizz,Jhin,Morgana","Malphite,Karthus,Zed,Miss Fortune,Thresh",2020-12-26 02:31:19,Team 2
15m 14s,na,100 PERCENT SLOW,"Rengar,Kha'Zix,Swain,Miss Fortune,Zilean","Shen,Kindred,Zoe,Ezreal,Maokai",2020-12-27 08:10:14,Team 2
22m 30s,na,100 PERCENT SLOW,"Volibear,Nidalee,Twisted Fate,Kai'Sa,Sett","Jax,Graves,Sylas,Draven,Lulu",2020-12-27 07:35:16,Team 1
23m 47s,euw,qldmkgod,"Darius,Nidalee,Yasuo,Ezreal,Janna","Akali,Graves,Kayle,Kai'Sa,Seraphine",2020-12-28 01:31:46,Team 1
29m 46s,euw,qldmkgod,"Gragas,Olaf,Ekko,Jhin,Thresh","Yone,Taliyah,Pantheon,Aphelios,Braum",2020-12-28 00:18:28,Team 1
25m 47s,na,DIG Akaadian,"Mordekaiser,Lee Sin,Syndra,Ezreal,Maokai","Nasus,Pantheon,Diana,Miss Fortune,Lulu",2020-12-21 05:11:25,Team 1
20m 20s,euw,Gabbo,"Ashe,Ekko,Tryndamere,Camille,Pantheon","Renekton,Hecarim,Anivia,Miss Fortune,Sett",2020-12-26 01:45:23,Team 1
29m 8s,euw,qldmkgod,"Aatrox,Nunu & Willump,Akali,Ashe,Twitch","Camille,Hecarim,LeBlanc,Miss Fortune,Sett",2020-12-27 23:35:31,Team 2
23m 23s,euw,qldmkgod,"Akali,Olaf,Sylas,Kai'Sa,Bard","Jayce,Udyr,Twisted Fate,Ivern,Leona",2020-12-27 22:48:22,Team 2
29m 33s,na,DIG Akaadian,"Pantheon,Graves,Elise,Jhin,Alistar","Fiora,Olaf,Anivia,Lucian,Thresh",2020-12-21 04:31:48,Team 1
19m 39s,na,DIG Akaadian,"Wukong,Taliyah,Anivia,Ezreal,Soraka","Viktor,Graves,Lulu,Lucian,Yuumi",2020-12-20 17:44:30,Team 2
39m 9s,euw,qldmkgod,"Lucian,Karthus,Akali,Miss Fortune,Leona","Aatrox,Graves,Zoe,Ezreal,Bard",2020-12-27 22:14:54,Team 2
33m 5s,euw,qldmkgod,"Aatrox,Riven,Tryndamere,Ekko,Rakan","Garen,Nunu & Willump,Zed,Ashe,Seraphine",2020-12-27 21:15:58,Team 2
15m 29s,euw,qldmkgod,"Irelia,Udyr,Katarina,Urgot,Thresh","Yone,Lillia,Olaf,Jhin,Nautilus",2020-12-27 19:57:53,Team 2
24m 36s,euw,Franciszek,"Mordekaiser,Ekko,Lucian,Kai'Sa,Alistar","Anivia,Graves,Wukong,Jhin,Rakan",2020-12-29 03:19:44,Team 2
30m 15s,euw,Franciszek,"Yone,Graves,Mordekaiser,Kai'Sa,Alistar","Wukong,Taliyah,Anivia,Vayne,Leona",2020-12-29 02:43:28,Team 2
26m 46s,euw,Franciszek,"Poppy,Lillia,Lucian,Miss Fortune,Nautilus","Olaf,Graves,Cassiopeia,Ashe,Leona",2020-12-29 01:26:16,Team 2
23m 34s,euw,Helaz,"Wukong,Graves,Anivia,Miss Fortune,Leona","Sylas,Kindred,Xerath,Jhin,Pantheon",2020-12-24 22:03:31,Team 2
22m 8s,euw,PáceMák1r,"Kayle,Graves,Yone,Ezreal,Galio","Malphite,Hecarim,Irelia,Jhin,Leona",2020-12-28 19:53:53,Team 2
21m 32s,euw,Franciszek,"Aatrox,Udyr,Talon,Ashe,Nautilus","Poppy,Graves,Ekko,Kai'Sa,Gragas",2020-12-29 00:45:19,Team 2
24m 5s,euw,Franciszek,"Camille,Olaf,Orianna,Ashe,Twitch","Renekton,Evelynn,Ryze,Miss Fortune,Nami",2020-12-29 00:09:44,Team 1
21m 43s,euw,Helaz,"Akali,Lillia,Lucian,Miss Fortune,Braum","Sion,Elise,Qiyana,Samira,Thresh",2020-12-24 21:29:13,Team 1
31m 48s,euw,Helaz,"Kled,Udyr,Kassadin,Ashe,Seraphine","Darius,Taliyah,Ekko,Ezreal,Sett",2020-12-24 01:20:27,Team 2
19m 11s,euw,PáceMák1r,"Wukong,Kha'Zix,Annie,Ezreal,Nami","Irelia,Gragas,Ekko,Samira,Thresh",2020-12-01 00:42:21,Team 1
26m 24s,euw,PáceMák1r,"Riven,Amumu,Sylas,Ezreal,Rakan","Maokai,Hecarim,Cassiopeia,Kai'Sa,Nautilus",2020-11-15 10:38:46,Team 2
22m 5s,euw,Franciszek,"Darius,Graves,Ekko,Kai'Sa,Galio","Shen,Lillia,Lucian,Miss Fortune,Janna",2020-12-28 21:58:26,Team 2
22m 6s,euw,Franciszek,"Renekton,Udyr,Zoe,Aphelios,Janna","Kennen,Lee Sin,Anivia,Kai'Sa,Pantheon",2020-12-28 10:36:29,Team 1
28m 52s,euw,ProvencalGaulois,"Volibear,Graves,Zoe,Kai'Sa,Alistar","Lillia,Pantheon,Syndra,Samira,Rakan",2020-12-28 23:41:50,Team 1
27m 23s,euw,Helaz,"Camille,Taliyah,Yone,Ashe,Maokai","Renekton,Lillia,Twisted Fate,Kai'Sa,Thresh",2020-12-24 00:39:05,Team 1
15m 30s,euw,Helaz,"Lucian,Olaf,Irelia,Jhin,Nautilus","Camille,Pantheon,Syndra,Kai'Sa,Braum",2020-12-23 21:56:58,Team 2
31m 9s,euw,PáceMák1r,"Fiora,Hecarim,Syndra,Kai'Sa,Leona","Renekton,Lillia,Lucian,Heimerdinger,Pantheon",2020-11-08 10:56:44,Team 1
20m 30s,euw,PáceMák1r,"Lucian,Hecarim,Zoe,Samira,Leona","Gangplank,Ekko,Veigar,Ezreal,Nautilus",2020-11-07 09:58:20,Team 1
23m 45s,euw,Franciszek,"Kennen,Kha'Zix,Qiyana,Kai'Sa,Morgana","Maokai,Shyvana,Xerath,Jhin,Thresh",2020-12-23 22:43:45,Team 1
32m 9s,euw,Franciszek,"Renekton,Graves,Akali,Miss Fortune,Janna","Camille,Nunu & Willump,Ryze,Ashe,Thresh",2020-12-23 00:21:41,Team 2
26m 34s,euw,ProvencalGaulois,"Poppy,Lee Sin,Talon,Karthus,Janna","Soraka,Kha'Zix,LeBlanc,Samira,Thresh",2020-12-28 22:39:25,Team 1
26m 5s,euw,ProvencalGaulois,"Ornn,Nunu & Willump,Lucian,Kai'Sa,Nautilus","Fiora,Udyr,Syndra,Ezreal,Maokai",2020-12-28 11:21:02,Team 2
25m 48s,euw,Helaz,"Sett,Olaf,LeBlanc,Ezreal,Nautilus","Renekton,Nidalee,Anivia,Draven,Thresh",2020-12-23 21:35:42,Team 2
27m 0s,euw,Helaz,"Shen,Rengar,Anivia,Kai'Sa,Nautilus","Sylas,Lee Sin,Fizz,Aphelios,Thresh",2020-12-22 00:49:12,Team 1
23m 43s,euw,PáceMák1r,"Fiora,Elise,Qiyana,Samira,Leona","Olaf,Nidalee,Cassiopeia,Aphelios,Alistar",2020-11-07 09:27:11,Team 2
18m 58s,euw,PáceMák1r,"Jayce,Rek'Sai,Syndra,Kai'Sa,Leona","Camille,Kindred,LeBlanc,Jhin,Rakan",2020-11-07 08:40:55,Team 2
28m 9s,euw,Franciszek,"Poppy,Taliyah,Pantheon,Kai'Sa,Alistar","Kassadin,Jarvan IV,Kennen,Miss Fortune,Nautilus",2020-12-22 23:27:54,Team 1
32m 51s,euw,ProvencalGaulois,"Yone,Zac,Xerath,Jhin,Twitch","Renekton,Udyr,Anivia,Ashe,Leona",2020-12-28 03:13:04,Team 1
26m 23s,euw,ProvencalGaulois,"Lucian,Poppy,Orianna,Kai'Sa,Leona","Jayce,Zac,Akali,Miss Fortune,Twitch",2020-12-28 02:33:35,Team 2
20m 59s,euw,Helaz,"Aatrox,Qiyana,Sylas,Ashe,Leona","Irelia,Kha'Zix,Syndra,Jhin,Alistar",2020-12-21 23:28:20,Team 1
39m 4s,euw,Helaz,"Gangplank,Rek'Sai,Orianna,Caitlyn,Bard","Shen,Olaf,Varus,Seraphine,Sett",2020-12-21 22:46:29,Team 1
20m 5s,euw,PáceMák1r,"Fiora,Shyvana,Galio,Ashe,Taric","Wukong,Rek'Sai,Cassiopeia,Ziggs,Pantheon",2020-11-05 10:35:44,Team 2
26m 40s,euw,PáceMák1r,"Karma,Hecarim,Fiora,Sona,Lux","Lulu,Sylas,Yasuo,Ashe,Janna",2020-11-05 09:56:00,Team 1
22m 19s,euw,ProvencalGaulois,"Volibear,Graves,Sylas,Kai'Sa,Alistar","Poppy,Zac,Yone,Ezreal,Sett",2020-12-28 02:00:52,Team 1
40m 2s,euw,ProvencalGaulois,"Quinn,Karthus,Pantheon,Ezreal,Lissandra","Akali,Udyr,Lucian,Kai'Sa,Rakan",2020-12-27 08:40:07,Team 2
21m 23s,euw,Helaz,"Akali,Graves,Wukong,Ezreal,Ashe","Poppy,Jarvan IV,Viktor,Yasuo,Rakan",2020-12-21 22:01:31,Team 2
31m 7s,euw,PáceMák1r,"Jax,Nidalee,Lucian,Miss Fortune,Leona","Fiora,Elise,Lulu,Kai'Sa,Alistar",2020-11-05 09:22:02,Team 2
29m 33s,euw,ProvencalGaulois,"Aatrox,Lillia,Lucian,Xayah,Leona","Olaf,Kha'Zix,Zoe,Kai'Sa,Twitch",2020-12-22 10:38:24,Team 2
27m 37s,euw,100t Freeze,"Fiora,Volibear,Singed,Viktor,Yuumi","Yone,Lillia,Sion,Jhin,Bard",2020-11-19 05:43:53,Team 1
22m 39s,euw,100t Freeze,"Ornn,Amumu,Yone,Lucian,Seraphine","Singed,Graves,Akali,Swain,Pantheon",2020-11-19 05:05:07,Team 1
32m 21s,euw,100t Freeze,"Kayle,Olaf,Yone,Swain,Galio","Maokai,Kha'Zix,Akali,Jhin,Zyra",2020-11-19 04:30:54,Team 2
22m 40s,euw,de sidere11,"Gangplank,Ivern,Viktor,Samira,Morgana","Shen,Lee Sin,Syndra,Kai'Sa,Alistar",2020-12-29 02:50:14,Team 1
27m 10s,euw,100t Freeze,"Aatrox,Kayn,Malphite,Swain,Taric","Riven,Hecarim,Sylas,Ashe,Morgana",2020-11-17 04:41:56,Team 1
11m 22s,euw,100t Freeze,"Vladimir,Graves,Galio,Ezreal,Pantheon","Riven,Hecarim,Swain,Azir,Bard",2020-11-17 04:06:13,Team 1
25m 30s,euw,de sidere11,"Renekton,Taliyah,Yasuo,Kai'Sa,Thresh","Gangplank,Hecarim,Akali,Sivir,Alistar",2020-12-29 02:19:11,Team 2
33m 16s,euw,de sidere11,"Jayce,Graves,Katarina,Jhin,Bard","Renekton,Nidalee,Yone,Kog'Maw,Pyke",2020-12-28 00:37:39,Team 1
33m 50s,euw,100t Freeze,"Aatrox,Nidalee,Samira,Cassiopeia,Leona","Camille,Udyr,Rumble,Senna,Sett",2020-11-17 03:49:02,Team 2
24m 53s,euw,100t Freeze,"Aatrox,Rengar,Annie,Kai'Sa,Leona","Lucian,Graves,Syndra,Swain,Alistar",2020-11-17 03:05:26,Team 2
15m 22s,euw,de sidere11,"Jax,Lillia,Yone,Ezreal,Galio","Camille,Ivern,Tryndamere,Kai'Sa,Leona",2020-12-27 23:56:11,Team 1
34m 22s,euw,de sidere11,"Jayce,Lillia,Lucian,Jhin,Alistar","Kassadin,Graves,Kennen,Yasuo,Gragas",2020-12-27 22:53:44,Team 1
25m 42s,euw,de sidere11,"Aatrox,Hecarim,LeBlanc,Draven,Xerath","Ornn,Taliyah,Galio,Caitlyn,Lux",2020-12-27 22:06:33,Team 2
3m 14s,euw,de sidere11,"Renekton,Ekko,Thresh,Zed,Xerath","Malphite,Taliyah,Pantheon,Caitlyn,Morgana",2020-12-27 21:30:23,Team 2
25m 41s,euw,iljimae,"Cassiopeia,Hecarim,Akali,Jhin,Rakan","Yone,Kayn,Zilean,Vayne,Lulu",2020-12-06 05:02:31,Team 1
18m 27s,euw,de sidere11,"Gragas,Graves,Kassadin,Jhin,Thresh","Gangplank,Nidalee,LeBlanc,Ezreal,Blitzcrank",2020-12-27 21:03:22,Team 1
30m 1s,euw,de sidere11,"Ezreal,Graves,Syndra,Lulu,Bard","Darius,Ivern,Ekko,Miss Fortune,Twitch",2020-12-27 20:25:23,Team 2
